phase,category,benchmark,benchmark_slug,seed,variant_id,mode,run_name,config_path,wandb_project,wandb_group,wandb_tags,run_name_suffix,config_source
3,baseline_multiseed,instrdialog,instrdialog,123,periodic_latest,baseline,paper_instrdialog_periodic_latest_s123_v8s5camp,configs/paper/instrdialog__periodic_latest__s123.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_123|periodic_latest,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,456,periodic_latest,baseline,paper_instrdialog_periodic_latest_s456_v8s5camp,configs/paper/instrdialog__periodic_latest__s456.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_456|periodic_latest,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,789,periodic_latest,baseline,paper_instrdialog_periodic_latest_s789_v8s5camp,configs/paper/instrdialog__periodic_latest__s789.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_789|periodic_latest,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,123,replay_b50,baseline,paper_instrdialog_replay_b50_s123_v8s5camp,configs/paper/instrdialog__replay_b50__s123.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_123|replay_b50,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,456,replay_b50,baseline,paper_instrdialog_replay_b50_s456_v8s5camp,configs/paper/instrdialog__replay_b50__s456.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_456|replay_b50,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,789,replay_b50,baseline,paper_instrdialog_replay_b50_s789_v8s5camp,configs/paper/instrdialog__replay_b50__s789.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_789|replay_b50,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,123,router_only,baseline,paper_instrdialog_router_only_s123_v8s5camp,configs/paper/instrdialog__router_only__s123.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_123|router_only,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,456,router_only,baseline,paper_instrdialog_router_only_s456_v8s5camp,configs/paper/instrdialog__router_only__s456.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_456|router_only,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,789,router_only,baseline,paper_instrdialog_router_only_s789_v8s5camp,configs/paper/instrdialog__router_only__s789.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_789|router_only,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,123,seq,baseline,paper_instrdialog_seq_s123_v8s5camp,configs/paper/instrdialog__seq__s123.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_123|seq,v8s5camp,existing_paper_matrix
3,baseline_multiseed,instrdialog,instrdialog,456,seq,baseline,paper_instrdialog_seq_s456_v8s5camp,configs/paper/instrdialog__seq__s456.yaml,lora-citb-v8-sota5-paper,baseline_multiseed_instrdialog,v8_sota5_campaign|v8_sota_5|baseline_multiseed|instrdialog|seed_456|seq,v8s5camp,existing_paper_matrix
